1975,1,1,331.83
1975,1,2,331.63
1975,1,3,331.43
1975,1,4,331.23
1975,1,5,331.03
1975,1,6,330.83
1975,1,7,330.63
1975,1,8,330.43
1975,1,9,330.23
1975,1,10,330.03
1975,1,11,329.83
1975,1,12,329.63
1975,1,13,329.43
1975,1,14,329.23
1975,1,15,329.03
1975,1,16,328.83
1975,1,17,328.63
1975,1,18,328.43
1975,1,19,328.23
1975,1,20,328.03
1975,1,21,328.12
1975,1,22,328.08
1975,1,23,328.06
1975,1,24,328.09
1975,1,25,327.99
1975,1,26,328.27
1975,1,27,328.32
1975,1,28,328.28
1975,1,29,328.28
1975,1,30,328.34
1975,1,31,328.33
1975,2,1,328.3
1975,2,2,328.32
1975,2,3,328.32
1975,2,4,328.34
1975,2,5,328.35
1975,2,6,328.31
1975,2,7,328.15
1975,2,8,328.22
1975,2,9,328.23
1975,2,10,328.21
1975,2,11,328.25
1975,2,12,328.27
1975,2,13,328.28
1975,2,14,328.22
1975,2,15,328.19
1975,2,16,328.19
1975,2,17,328.22
1975,2,18,328.18
1975,2,19,328.14
1975,2,20,328.16
1975,2,21,328.16
1975,2,22,328.16
1975,2,23,328.14
1975,2,24,328.12
1975,2,25,328.17
1975,2,26,328.24
1975,2,27,328.16
1975,2,28,328.14
1975,3,1,329.04
1975,3,2,328.78
1975,3,3,328.97
1975,3,4,328.8
1975,3,5,328.77
1975,3,6,328.75
1975,3,7,328.7
1975,3,8,328.91
1975,3,9,329.06
1975,3,10,329.07
1975,3,11,329.08
1975,3,12,329.09
1975,3,13,329.09
1975,3,14,329.1
1975,3,15,329.11
1975,3,16,329.12
1975,3,17,329.13
1975,3,18,329.14
1975,3,19,329.15
1975,3,20,329.15
1975,3,21,329.16
1975,3,22,329.17
1975,3,23,329.18
1975,3,24,329.19
1975,3,25,329.2
1975,3,26,329.21
1975,3,27,329.21
1975,3,28,329.22
1975,3,29,329.23
1975,3,30,329.24
1975,3,31,329.25
1975,4,1,329.26
1975,4,2,329.27
1975,4,3,329.27
1975,4,4,329.28
1975,4,5,329.29
1975,4,6,329.3
1975,4,7,329.31
1975,4,8,329.32
1975,4,9,329.33
1975,4,10,329.33
1975,4,11,329.34
1975,4,12,329.35
1975,4,13,329.36
1975,4,14,329.37
1975,4,15,329.38
1975,4,16,329.39
1975,4,17,329.39
1975,4,18,329.4
1975,4,19,329.41
1975,4,20,329.42
1975,4,21,329.43
1975,4,22,329.44
1975,4,23,329.45
1975,4,24,329.45
1975,4,25,329.46
1975,4,26,329.47
1975,4,27,329.48
1975,4,28,329.49
1975,4,29,329.5
1975,4,30,329.51
1975,5,1,329.51
1975,5,2,329.52
1975,5,3,329.53
1975,5,4,329.54
1975,5,5,329.55
1975,5,6,329.56
1975,5,7,329.57
1975,5,8,329.57
1975,5,9,329.58
1975,5,10,329.59
1975,5,11,329.6
1975,5,12,329.61
1975,5,13,329.62
1975,5,14,329.63
1975,5,15,329.63
1975,5,16,329.64
1975,5,17,329.65
1975,5,18,329.66
1975,5,19,329.67
1975,5,20,329.68
1975,5,21,329.69
1975,5,22,329.69
1975,5,23,329.7
1975,5,24,329.71
1975,5,25,329.72
1975,5,26,329.73
1975,5,27,329.74
1975,5,28,329.75
1975,5,29,329.75
1975,5,30,329.76
1975,5,31,329.77
1975,6,1,329.78
1975,6,2,329.79
1975,6,3,329.8
1975,6,4,329.81
1975,6,5,329.81
1975,6,6,329.82
1975,6,7,329.83
1975,6,8,329.84
1975,6,9,329.85
1975,6,10,329.86
1975,6,11,329.87
1975,6,12,329.87
1975,6,13,329.88
1975,6,14,329.89
1975,6,15,329.9
1975,6,16,329.91
1975,6,17,329.92
1975,6,18,329.93
1975,6,19,329.93
1975,6,20,329.94
1975,6,21,329.95
1975,6,22,329.96
1975,6,23,329.97
1975,6,24,329.98
1975,6,25,329.99
1975,6,26,329.99
1975,6,27,330
1975,6,28,330.01
1975,6,29,330.02
1975,6,30,330.03
1975,7,1,330.04
1975,7,2,330.05
1975,7,3,330.05
1975,7,4,330.06
1975,7,5,330.07
1975,7,6,330.08
1975,7,7,330.09
1975,7,8,330.1
1975,7,9,330.11
1975,7,10,330.11
1975,7,11,330.12
1975,7,12,330.13
1975,7,13,330.14
1975,7,14,330.15
1975,7,15,330.16
1975,7,16,330.16
1975,7,17,330.17
1975,7,18,330.18
1975,7,19,330.19
1975,7,20,330.2
1975,7,21,330.21
1975,7,22,330.22
1975,7,23,330.22
1975,7,24,330.23
1975,7,25,330.24
1975,7,26,330.25
1975,7,27,330.26
1975,7,28,330.27
1975,7,29,330.28
1975,7,30,330.28
1975,7,31,330.29
1975,8,1,330.3
1975,8,2,330.31
1975,8,3,330.32
1975,8,4,330.33
1975,8,5,330.34
1975,8,6,330.34
1975,8,7,330.35
1975,8,8,330.36
1975,8,9,330.37
1975,8,10,330.38
1975,8,11,330.39
1975,8,12,330.4
1975,8,13,330.4
1975,8,14,330.41
1975,8,15,330.42
1975,8,16,330.43
1975,8,17,330.44
1975,8,18,330.45
1975,8,19,330.46
1975,8,20,330.46
1975,8,21,330.47
1975,8,22,330.48
1975,8,23,330.49
1975,8,24,330.5
1975,8,25,330.51
1975,8,26,330.52
1975,8,27,330.52
1975,8,28,330.53
1975,8,29,330.54
1975,8,30,330.55
1975,8,31,330.56
1975,9,1,330.57
1975,9,2,330.58
1975,9,3,330.58
1975,9,4,330.59
1975,9,5,330.6
1975,9,6,330.61
1975,9,7,330.62
1975,9,8,330.63
1975,9,9,330.64
1975,9,10,330.64
1975,9,11,330.65
